face_id,social_img,sensory_img,gender,race,trust_level,target_brightness,corr_sensory_key
haf1,haf1.jpg,haf1b.jpg,F,Asian,high,bright,k
haf1,haf1.jpg,haf1d.jpg,F,Asian,high,dark,d
haf2,haf2.jpg,haf2b.jpg,F,Asian,high,bright,k
haf2,haf2.jpg,haf2d.jpg,F,Asian,high,dark,d
haf3,haf3.jpg,haf3b.jpg,F,Asian,high,bright,k
haf3,haf3.jpg,haf3d.jpg,F,Asian,high,dark,d
haf4,haf4.jpg,haf4b.jpg,F,Asian,high,bright,k
haf4,haf4.jpg,haf4d.jpg,F,Asian,high,dark,d
haf5,haf5.jpg,haf5b.jpg,F,Asian,high,bright,k
haf5,haf5.jpg,haf5d.jpg,F,Asian,high,dark,d
ham1,ham1.jpg,ham1b.jpg,M,Asian,high,bright,k
ham1,ham1.jpg,ham1d.jpg,M,Asian,high,dark,d
ham2,ham2.jpg,ham2b.jpg,M,Asian,high,bright,k
ham2,ham2.jpg,ham2d.jpg,M,Asian,high,dark,d
ham3,ham3.jpg,ham3b.jpg,M,Asian,high,bright,k
ham3,ham3.jpg,ham3d.jpg,M,Asian,high,dark,d
ham4,ham4.jpg,ham4b.jpg,M,Asian,high,bright,k
ham4,ham4.jpg,ham4d.jpg,M,Asian,high,dark,d
ham5,ham5.jpg,ham5b.jpg,M,Asian,high,bright,k
ham5,ham5.jpg,ham5d.jpg,M,Asian,high,dark,d
hbf1,hbf1.jpg,hbf1b.jpg,F,Black,high,bright,k
hbf1,hbf1.jpg,hbf1d.jpg,F,Black,high,dark,d
hbf2,hbf2.jpg,hbf2b.jpg,F,Black,high,bright,k
hbf2,hbf2.jpg,hbf2d.jpg,F,Black,high,dark,d
hbf3,hbf3.jpg,hbf3b.jpg,F,Black,high,bright,k
hbf3,hbf3.jpg,hbf3d.jpg,F,Black,high,dark,d
hbf4,hbf4.jpg,hbf4b.jpg,F,Black,high,bright,k
hbf4,hbf4.jpg,hbf4d.jpg,F,Black,high,dark,d
hbf5,hbf5.jpg,hbf5b.jpg,F,Black,high,bright,k
hbf5,hbf5.jpg,hbf5d.jpg,F,Black,high,dark,d
hbm1,hbm1.jpg,hbm1b.jpg,M,Black,high,bright,k
hbm1,hbm1.jpg,hbm1d.jpg,M,Black,high,dark,d
hbm2,hbm2.jpg,hbm2b.jpg,M,Black,high,bright,k
hbm2,hbm2.jpg,hbm2d.jpg,M,Black,high,dark,d
hbm3,hbm3.jpg,hbm3b.jpg,M,Black,high,bright,k
hbm3,hbm3.jpg,hbm3d.jpg,M,Black,high,dark,d
hbm4,hbm4.jpg,hbm4b.jpg,M,Black,high,bright,k
hbm4,hbm4.jpg,hbm4d.jpg,M,Black,high,dark,d
hbm5,hbm5.jpg,hbm5b.jpg,M,Black,high,bright,k
hbm5,hbm5.jpg,hbm5d.jpg,M,Black,high,dark,d
hlf1,hlf1.jpg,hlf1b.jpg,F,Latino,high,bright,k
hlf1,hlf1.jpg,hlf1d.jpg,F,Latino,high,dark,d
hlf2,hlf2.jpg,hlf2b.jpg,F,Latino,high,bright,k
hlf2,hlf2.jpg,hlf2d.jpg,F,Latino,high,dark,d
hlf3,hlf3.jpg,hlf3b.jpg,F,Latino,high,bright,k
hlf3,hlf3.jpg,hlf3d.jpg,F,Latino,high,dark,d
hlf4,hlf4.jpg,hlf4b.jpg,F,Latino,high,bright,k
hlf4,hlf4.jpg,hlf4d.jpg,F,Latino,high,dark,d
hlf5,hlf5.jpg,hlf5b.jpg,F,Latino,high,bright,k
hlf5,hlf5.jpg,hlf5d.jpg,F,Latino,high,dark,d
hlm1,hlm1.jpg,hlm1b.jpg,M,Latino,high,bright,k
hlm1,hlm1.jpg,hlm1d.jpg,M,Latino,high,dark,d
hlm2,hlm2.jpg,hlm2b.jpg,M,Latino,high,bright,k
hlm2,hlm2.jpg,hlm2d.jpg,M,Latino,high,dark,d
hlm3,hlm3.jpg,hlm3b.jpg,M,Latino,high,bright,k
hlm3,hlm3.jpg,hlm3d.jpg,M,Latino,high,dark,d
hlm4,hlm4.jpg,hlm4b.jpg,M,Latino,high,bright,k
hlm4,hlm4.jpg,hlm4d.jpg,M,Latino,high,dark,d
hlm5,hlm5.jpg,hlm5b.jpg,M,Latino,high,bright,k
hlm5,hlm5.jpg,hlm5d.jpg,M,Latino,high,dark,d
hwf1,hwf1.jpg,hwf1b.jpg,F,White,high,bright,k
hwf1,hwf1.jpg,hwf1d.jpg,F,White,high,dark,d
hwf2,hwf2.jpg,hwf2b.jpg,F,White,high,bright,k
hwf2,hwf2.jpg,hwf2d.jpg,F,White,high,dark,d
hwf3,hwf3.jpg,hwf3b.jpg,F,White,high,bright,k
hwf3,hwf3.jpg,hwf3d.jpg,F,White,high,dark,d
hwf4,hwf4.jpg,hwf4b.jpg,F,White,high,bright,k
hwf4,hwf4.jpg,hwf4d.jpg,F,White,high,dark,d
hwf5,hwf5.jpg,hwf5b.jpg,F,White,high,bright,k
hwf5,hwf5.jpg,hwf5d.jpg,F,White,high,dark,d
hwm1,hwm1.jpg,hwm1b.jpg,M,White,high,bright,k
hwm1,hwm1.jpg,hwm1d.jpg,M,White,high,dark,d
hwm2,hwm2.jpg,hwm2b.jpg,M,White,high,bright,k
hwm2,hwm2.jpg,hwm2d.jpg,M,White,high,dark,d
hwm3,hwm3.jpg,hwm3b.jpg,M,White,high,bright,k
hwm3,hwm3.jpg,hwm3d.jpg,M,White,high,dark,d
hwm4,hwm4.jpg,hwm4b.jpg,M,White,high,bright,k
hwm4,hwm4.jpg,hwm4d.jpg,M,White,high,dark,d
hwm5,hwm5.jpg,hwm5b.jpg,M,White,high,bright,k
hwm5,hwm5.jpg,hwm5d.jpg,M,White,high,dark,d
laf1,laf1.jpg,laf1b.jpg,F,Asian,low,bright,k
laf1,laf1.jpg,laf1d.jpg,F,Asian,low,dark,d
laf2,laf2.jpg,laf2b.jpg,F,Asian,low,bright,k
laf2,laf2.jpg,laf2d.jpg,F,Asian,low,dark,d
laf3,laf3.jpg,laf3b.jpg,F,Asian,low,bright,k
laf3,laf3.jpg,laf3d.jpg,F,Asian,low,dark,d
laf4,laf4.jpg,laf4b.jpg,F,Asian,low,bright,k
laf4,laf4.jpg,laf4d.jpg,F,Asian,low,dark,d
laf5,laf5.jpg,laf5b.jpg,F,Asian,low,bright,k
laf5,laf5.jpg,laf5d.jpg,F,Asian,low,dark,d
